year,month,day,US MIR % (6mo),EU MIR %
2018,01,01,ND,0
2018,01,02,1.61,0
2018,01,03,1.59,0
2018,01,04,1.60,0
2018,01,05,1.58,0
2018,01,08,1.60,0
2018,01,09,1.60,0
2018,01,10,1.59,0
2018,01,11,1.58,0
2018,01,12,1.59,0
2018,01,15,ND,0
2018,01,16,1.63,0
2018,01,17,1.63,0
2018,01,18,1.63,0
2018,01,19,1.62,0
2018,01,22,1.65,0
2018,01,23,1.63,0
2018,01,24,1.63,0
2018,01,25,1.64,0
2018,01,26,1.64,0
2018,01,29,1.66,0
2018,01,30,1.66,0
2018,01,31,1.66,0
2018,02,01,1.64,0
2018,02,02,1.65,0
2018,02,05,1.67,0
2018,02,06,1.69,0
2018,02,07,1.73,0
2018,02,08,1.73,0
2018,02,09,1.73,0
2018,02,12,1.82,0
2018,02,13,1.80,0
2018,02,14,1.81,0
2018,02,15,1.82,0
2018,02,16,1.83,0
2018,02,19,ND,0
2018,02,20,1.87,0
2018,02,21,1.85,0
2018,02,22,1.84,0
2018,02,23,1.85,0
2018,02,26,1.87,0
2018,02,27,1.87,0
2018,02,28,1.86,0
2018,03,01,1.85,0
2018,03,02,1.86,0
2018,03,05,1.86,0
2018,03,06,1.87,0
2018,03,07,1.87,0
2018,03,08,1.89,0
2018,03,09,1.89,0
2018,03,12,1.89,0
2018,03,13,1.90,0
2018,03,14,1.94,0
2018,03,15,1.95,0
2018,03,16,1.96,0
2018,03,19,1.99,0
2018,03,20,1.97,0
2018,03,21,1.95,0
2018,03,22,1.95,0
2018,03,23,1.92,0
2018,03,26,1.94,0
2018,03,27,1.93,0
2018,03,28,1.95,0
2018,03,29,1.93,0
2018,03,30,ND,0
2018,04,02,1.92,0
2018,04,03,1.92,0
2018,04,04,1.90,0
2018,04,05,1.93,0
2018,04,06,1.91,0
2018,04,09,1.93,0
2018,04,10,1.93,0
2018,04,11,1.95,0
2018,04,12,1.95,0
2018,04,13,1.97,0
2018,04,16,1.98,0
2018,04,17,2.02,0
2018,04,18,2.01,0
2018,04,19,2.01,0
2018,04,20,2.01,0
2018,04,23,2.04,0
2018,04,24,2.05,0
2018,04,25,2.03,0
2018,04,26,2.02,0
2018,04,27,2.02,0
2018,04,30,2.04,0
2018,05,01,2.05,0
2018,05,02,2.03,0
2018,05,03,2.02,0
2018,05,04,2.03,0
2018,05,07,2.05,0
2018,05,08,2.05,0
2018,05,09,2.05,0
2018,05,10,2.05,0
2018,05,11,2.06,0
2018,05,14,2.09,0
2018,05,15,2.09,0
2018,05,16,2.09,0
2018,05,17,2.10,0
2018,05,18,2.09,0
2018,05,21,2.14,0
2018,05,22,2.13,0
2018,05,23,2.11,0
2018,05,24,2.09,0
2018,05,25,2.07,0
2018,05,28,ND,0
2018,05,29,2.06,0
2018,05,30,2.08,0
2018,05,31,2.08,0
2018,06,01,2.10,0
2018,06,04,2.13,0
2018,06,05,2.13,0
2018,06,06,2.13,0
2018,06,07,2.12,0
2018,06,08,2.12,0
2018,06,11,2.11,0
2018,06,12,2.10,0
2018,06,13,2.09,0
2018,06,14,2.07,0
2018,06,15,2.07,0
2018,06,18,2.13,0
2018,06,19,2.13,0
2018,06,20,2.14,0
2018,06,21,2.12,0
